date,time,home_team,away_team,score,match_url,Expected_goals_(xG)_home,Expected_goals_(xG)_away,Ball_possession_home,Ball_possession_away,Total_shots_home,Total_shots_away,Shots_on_target_home,Shots_on_target_away,Corner_kicks_home,Corner_kicks_away,Passes_home,Passes_away,Red_cards_home,Red_cards_away,Shots_off_target_home,Shots_off_target_away,Blocked_shots_home,Blocked_shots_away,Offsides_home,Offsides_away,Fouls_home,Fouls_away,Goalkeeper_saves_home,Goalkeeper_saves_away,Yellow_cards_home,Yellow_cards_away,Free_kicks_home,Free_kicks_away,Throw_ins_home,Throw_ins_away
02.04.2023,00:00,Inter,Fiorentina,0:1,https://www.flashscore.co.uk/match/football/K0Hfmug2/#/match-summary,3.05,1.25,59%,41%,16,19,3,3,10,8,"83%,(385/465)","76%,(254/335)",,,7,9,6,7,4,0,8,7,2,3,2,3,7,12,22,19
08.01.2023,01:00,Juventus,Udinese,1:0,https://www.flashscore.co.uk/match/football/6aztZZF1/#/match-summary,,,50%,50%,14,11,4,3,6,4,"85%,(391/459)","87%,(392/452)",,,7,3,3,5,3,0,16,13,3,3,1,2,13,18,20,18
19.09.2022,00:00,AS Roma,Atalanta,0:1,https://www.flashscore.co.uk/match/football/zLDPwqqt/#/match-summary,,,56%,44%,21,4,5,1,5,1,"86%,(401/466)","79%,(280/356)",,,12,1,4,2,1,0,9,19,0,5,0,7,19,10,26,25
28.01.2023,03:45,Lecce,Salernitana,1:2,https://www.flashscore.co.uk/match/football/jq0c0XVc/#/match-summary,,,60%,40%,15,10,5,6,4,4,"81%,(432/533)","69%,(248/359)",,,8,3,2,1,2,2,14,11,4,4,2,4,12,15,18,31
18.04.2023,02:45,Fiorentina,Atalanta,1:1,https://www.flashscore.co.uk/match/football/UTJ5cpY6/#/match-summary,2.31,0.59,63%,37%,18,6,7,1,5,1,"82%,(400/488)","67%,(199/297)",,,6,5,5,0,0,1,8,20,0,6,1,3,20,8,20,33
04.05.2023,03:00,Lazio,Sassuolo,2:0,https://www.flashscore.co.uk/match/football/IVyOtehi/#/match-summary,2.20,1.00,49%,51%,13,13,5,2,1,2,"87%,(447/514)","86%,(455/529)",,,6,6,2,5,2,1,13,13,2,3,3,5,14,14,16,28
08.10.2022,21:00,Sassuolo,Inter,1:2,https://www.flashscore.co.uk/match/football/jkglYaUE/#/match-summary,,,52%,48%,15,16,3,4,6,5,"85%,(422/496)","86%,(389/452)",,,5,9,7,3,0,1,14,17,2,2,3,2,25,22,19,15
10.11.2022,03:45,Fiorentina,Salernitana,2:1,https://www.flashscore.co.uk/match/football/SAGA22uN/#/match-summary,,,58%,42%,18,4,7,1,4,3,"86%,(484/564)","76%,(299/395)",,,9,1,2,2,4,3,10,11,0,5,0,1,14,13,24,20
16.10.2022,21:00,Spezia,Cremonese,2:2,https://www.flashscore.co.uk/match/football/6uMZqcTQ/#/match-summary,,,54%,46%,15,24,6,4,6,8,"72%,(293/407)","70%,(243/347)",,,3,11,6,9,3,2,12,11,2,4,2,0,13,15,29,18
02.04.2023,21:00,Monza,Lazio,0:2,https://www.flashscore.co.uk/match/football/Qc4tBro9/#/match-summary,1.46,0.58,57%,43%,11,8,3,4,8,3,"90%,(569/630)","87%,(422/485)",,,6,3,2,1,1,1,13,8,2,3,5,2,8,15,14,15
